long,lat,city
13.381215,52.498493,Berlin
8.532800,52.021088,Bielefeld
7.0947157,50.7371974,Bonn
12.93973,50.83063,Chemnitz
14.32216,51.76892, Cottbus
13.72858,51.08113,Dresden
6.7784333,51.209478,Düsseldorf
8.6833,50.1167,Frankfurt
11.016667,49.583333,Erlangen
54.7961228,9.4305162,Flensburg
7.85,47.983333,Freiburg
8.690926,50.587142,Gießen
9.9800385,53.5476165,Hamburg
9.716667,52.366667,Hannover
8.69079,49.40768,Heidelberg
9.220404,49.139059,Heilbronn
11.5762312,50.9223394,Jena
7.769050,49.436673,Kaiserslautern
8.404370,49.013397,Karlsruhe
6.9104529,50.9554784,Köln
12.3735576,51.3322131,Leipzig
11.62941,52.11946,Magdeburg
11.4433,53.6007,Mecklenburg-Vorpommern
11.55792,48.14356,München
7.630490,51.964928,Münster
6.640815,51.481604,Niederrhein
8.0497410,52.2668370,Osnabrück
8.754167,51.718056,Paderborn
13.07853,52.38947,Potsdam
7.024764,51.438531,Ruhrgebiet
9.40062,54.66414,Schleswig-Flensburg
9.173700,48.776540,Stuttgart
9.99042,48.39645,Ulm
7.14539,51.26687,Wuppertal
